"projid","master_route_id","scenario_route_id","master_length","scenario_length","length_diff","pct_diff","master_stops","scenario_stops","missing_stops"
"1",99,35,9.0487,9.0487,0.00,0.00,8,8,0
"1",106,38,10.432,10.432,0.00,0.00,28,28,0
"2",133,44,14.9288,14.9267,-0.00203478,-0.01,20,20,0
"2",427,132,14.4396,14.4396,0.00,0.00,20,20,0
"4",471,145,12.2638,12.2638,0.00,0.00,37,37,0
"4",472,146,13.7553,13.7553,0.00,0.00,38,38,0
"6",290,75,16.2052,16.2078,0.00264229,0.02,20,20,0
"6",291,76,17.4005,17.4597,0.0591688,0.34,18,18,0
"7",477,148,9.14754,9.14754,0.00,0.00,19,19,0
"7",479,149,9.09124,9.09124,0.00,0.00,21,21,0
"8",131,43,6.1434,6.1434,0.00,0.00,10,10,0
"9",122,41,9.45309,9.45309,0.00,0.00,15,15,0
"14",124,42,8.4181,8.4181,0.00,0.00,19,19,0
"16",481,150,18.1535,18.1688,0.0152979,0.08,21,21,0
"16",602,211,19.8206,19.8352,0.0145525,0.07,23,23,0
"23",396,115,15.5418,15.5418,0.00,0.00,43,43,0
"23",397,116,16.1423,16.1423,0.00,0.00,44,44,0
"26",257,72,9.6948,9.69429,-0.000504151,-0.01,18,18,0
"27",319,88,22.4272,22.4272,0.00,0.00,12,12,0
"27",320,89,24.0076,24.0076,0.00,0.00,14,14,0
"30",311,83,7.06827,7.06827,0.00,0.00,44,44,0
"30",317,87,7.76378,7.76378,0.00,0.00,48,48,0
"32",12,1,4.26254,4.26254,0.00,0.00,31,31,0
"32",13,2,5.17291,5.17291,0.00,0.00,30,30,0
"33",328,93,6.16132,6.16132,0.00,0.00,33,33,0
"33",336,94,5.82921,5.8174,-0.0118065,-0.2,35,35,0
"34",16,3,5.22907,5.22907,0.00,0.00,11,11,0
"34",17,4,3.88922,3.88922,0.00,0.00,10,10,0
"35",407,122,7.74189,7.74189,0.00,0.00,40,40,0
"35",411,126,9.29844,9.29844,0.00,0.00,50,50,0
"37",410,125,8.44764,8.44764,0.00,0.00,53,53,0
"37",412,127,9.18923,9.18923,0.00,0.00,51,50,1
"38",323,91,10.1227,10.1227,0.00,0.00,51,51,0
"38",324,92,9.80599,9.80599,0.00,0.00,48,48,0
"40",186,60,3.88,3.88,0.00,0.00,9,9,0
"40",187,61,4.6432,4.6432,0.00,0.00,12,12,0
"41",26,5,6.39198,6.39198,0.00,0.00,33,33,0
"41",27,6,5.19869,5.19869,0.00,0.00,36,36,0
"42",28,7,4.1988,4.1988,0.00,0.00,10,10,0
"42",29,8,3.20632,3.20632,0.00,0.00,6,6,0
"43",30,9,3.54023,3.54023,0.00,0.00,27,27,0
"43",31,10,3.94199,3.94199,0.00,0.00,26,26,0
"45",314,84,4.15649,4.15649,0.00,0.00,23,23,0
"45",315,85,3.04514,3.04514,0.00,0.00,15,15,0
"46",36,11,3.60604,3.60604,0.00,0.00,13,13,0
"46",37,12,3.4113,3.4113,0.00,0.00,18,18,0
"47",316,86,6.55968,6.55968,0.00,0.00,37,37,0
"47",322,90,7.10898,7.10898,0.00,0.00,37,37,0
"48",40,13,3.57036,3.57036,0.00,0.00,25,25,0
"49",101,36,3.15264,3.15264,0.00,0.00,23,23,0
"50",41,14,5.62441,5.62441,0.00,0.00,28,28,0
"50",409,124,6.62979,6.62979,0.00,0.00,33,33,0
"51",42,15,4.83948,4.83948,0.00,0.00,6,6,0
"51",102,37,5.8052,5.8052,0.00,0.00,8,8,0
"53",111,39,14.3612,14.3612,0.00,0.00,3,3,0
"53",112,40,15.903,15.903,0.00,0.00,7,7,0
"55",45,16,10.5771,10.5806,0.00345651,0.03,6,6,0
"55",46,17,10.7005,10.7,-0.000439569,-0.00,7,7,0
"57",390,112,10.7994,10.7994,0.00,0.00,44,44,0
"57",391,113,12.5658,12.569,0.00326715,0.03,53,53,0
"58",258,73,5.737,5.737,0.00,0.00,25,25,0
"58",261,74,7.9001,7.9001,0.00,0.00,30,30,0
"60",386,109,5.83156,5.83156,0.00,0.00,24,24,0
"60",441,141,7.70455,7.70455,0.00,0.00,29,29,0
"60",473,147,7.43777,7.43777,0.00,0.00,31,31,0
"61",50,18,3.27806,3.27806,0.00,0.00,13,13,0
"61",392,114,6.10151,6.10151,0.00,0.00,33,33,0
"62",794,322,9.30323,9.30323,0.00,0.00,26,26,0
"62",795,323,10.2239,10.2239,0.00,0.00,27,27,0
"63",844,351,18.0551,17.9716,-0.083442,-0.46,66,66,0
"63",845,352,18.4586,18.3752,-0.083442,-0.45,62,62,0
"64",779,310,8.52512,8.52512,0.00,0.00,26,26,0
"64",847,354,7.16461,7.16363,-0.000983513,-0.01,26,26,0
"65",780,311,7.3973,7.3985,0.00120365,0.02,27,27,0
"65",784,314,4.79559,4.79559,0.00,0.00,18,18,0
"66",786,316,10.3163,10.3192,0.00294172,0.03,29,29,0
"66",787,317,10.8912,10.8942,0.00294172,0.03,28,28,0
"67",296,77,10.1963,10.3289,0.132606,1.3,8,8,0
"67",846,353,11.6949,11.701,0.00616319,0.05,12,12,0
"68",297,78,9.85195,10.0006,0.148698,1.51,32,32,0
"68",434,134,8.42202,8.57072,0.148698,1.77,26,26,0
"69",153,45,11.1579,11.1579,0.00,0.00,61,61,0
"69",154,46,7.12096,7.19389,0.0729371,1.02,33,33,0
"70",177,58,13.8661,13.8661,0.00,0.00,58,58,0
"70",178,59,12.5929,12.5929,0.00,0.00,48,48,0
"72",58,19,5.67692,5.67692,0.00,0.00,21,21,0
"72",59,20,5.78747,5.78747,0.00,0.00,19,19,0
"73",60,21,2.69792,2.69792,0.00,0.00,18,18,0
"73",61,22,1.27803,1.27803,0.00,0.00,6,6,0
"74",774,307,8.75724,8.75521,-0.0020337,-0.02,30,30,0
"74",776,309,8.70259,8.70259,0.00,0.00,29,29,0
"75",307,79,2.74246,2.74246,0.00,0.00,14,14,0
"75",308,80,3.45887,3.45887,0.00,0.00,15,15,0
"76",423,131,11.6083,11.6083,0.00,0.00,43,43,0
"76",495,161,12.4083,12.4083,0.00,0.00,39,39,0
"77",421,130,4.97148,4.97148,0.00,0.00,4,4,0
"77",439,139,4.70887,4.70825,-0.000612695,-0.01,8,8,0
"78",353,95,5.05709,5.05709,0.00,0.00,12,12,0
"78",494,160,6.51174,6.51174,0.00,0.00,15,15,0
"80",775,308,19.0681,19.0641,-0.00402265,-0.02,14,14,0
"80",785,315,19.2374,19.2374,0.00,0.00,12,12,0
"81",72,23,25.9871,25.9871,0.00,0.00,16,16,0
"81",549,191,24.158,24.158,0.00,0.00,9,9,0
"83",155,47,3.28824,3.28824,0.00,0.00,15,15,0
"83",440,140,2.34283,2.34283,0.00,0.00,11,11,0
"84",768,303,16.1742,16.4901,0.31599,1.95,39,39,0
"84",769,304,14.9822,15.2982,0.31599,2.11,36,36,0
"85",610,215,18.4521,18.451,-0.00106302,-0.01,7,7,0
"85",611,216,18.7669,18.7663,-0.000658238,-0.00,7,7,0
"89",196,62,11.4019,11.4019,0.00,0.00,54,54,0
"89",197,63,12.5505,12.5505,0.00,0.00,60,60,0
"90",402,117,11.933,11.933,0.00,0.00,56,56,0
"90",403,118,12.6182,12.6182,0.00,0.00,63,63,0
"96",203,64,5.89515,5.89515,0.00,0.00,34,34,0
"96",228,68,5.91953,5.91953,0.00,0.00,30,30,0
"99",219,66,11.5562,11.5562,0.00,0.00,68,68,0
"99",220,67,9.95571,9.95571,0.00,0.00,60,60,0
"101",404,119,12.4346,12.4346,0.00,0.00,57,57,0
"101",405,120,13.662,13.662,0.00,0.00,59,59,0
"102",207,65,11.6601,11.6601,0.00,0.00,57,56,1
"102",239,69,13.744,13.744,0.00,0.00,60,60,0
"107",164,51,4.50111,4.50111,0.00,0.00,20,20,0
"108",82,24,3.24684,3.24684,0.00,0.00,8,8,0
"108",83,25,3.3378,3.3378,0.00,0.00,8,8,0
"110",387,110,4.01204,4.01204,0.00,0.00,27,27,0
"111",84,26,4.32662,4.32662,0.00,0.00,19,19,0
"111",174,55,3.91823,3.91823,0.00,0.00,17,17,0
"112",168,53,3.48692,3.48692,0.00,0.00,11,11,0
"113",176,57,4.0711,4.0711,0.00,0.00,17,17,0
"114",173,54,3.49352,3.49352,0.00,0.00,17,17,0
"115",166,52,4.37613,4.37613,0.00,0.00,30,30,0
"116",389,111,4.02478,4.02478,0.00,0.00,22,22,0
"117",85,27,3.65557,3.65557,0.00,0.00,17,17,0
"117",175,56,3.46228,3.46228,0.00,0.00,16,16,0
"118",86,28,1.52411,1.52411,0.00,0.00,9,9,0
"118",87,29,1.52411,1.52411,0.00,0.00,9,9,0
"120",88,30,1.75984,1.75984,0.00,0.00,9,9,0
"120",89,31,1.83978,1.83978,0.00,0.00,10,10,0
"122",378,107,4.46582,4.46582,0.00,0.00,19,19,0
"122",379,108,4.08002,4.08002,0.00,0.00,20,20,0
"123",92,32,1.56185,1.56185,0.00,0.00,9,9,0
"123",163,50,1.84084,1.84084,0.00,0.00,10,10,0
"124",160,49,3.66326,3.66326,0.00,0.00,16,16,0
"126",156,48,3.89471,3.89471,0.00,0.00,25,25,0
"127",94,33,1.96154,1.96154,0.00,0.00,9,9,0
"127",95,34,1.96154,1.96154,0.00,0.00,9,9,0
"128",406,121,15.8919,15.8919,0.00,0.00,25,25,0
"129",589,203,13.502,13.503,0.00102934,0.01,43,43,0
"129",590,204,13.7654,13.7664,0.00102934,0.01,43,43,0
"136",252,70,6.49583,6.49583,0.00,0.00,18,18,0
"136",253,71,6.49583,6.49583,0.00,0.00,18,18,0
"136",356,96,24.391,24.4629,0.0719127,0.29,12,12,0
"136",663,218,23.989,23.989,2.03531e-05,0.00,10,10,0
"137",363,99,7.03506,7.03506,0.00,0.00,33,33,0
"137",364,100,7.23616,7.23616,0.00,0.00,33,33,0
"137",455,144,12.3158,12.5269,0.211037,1.71,11,11,0
"137",487,155,12.3158,12.5238,0.207929,1.69,11,11,0
"138",357,97,17.0003,16.8959,-0.10445,-0.61,64,64,0
"138",358,98,17.599,17.5993,0.000281571,0.00,61,61,0
"138",435,135,10.2557,10.2557,0.00,0.00,34,34,0
"138",436,136,11.1265,11.1265,0.00,0.00,38,38,0
"140",309,81,7.82255,8.1024,0.279851,3.58,22,22,0
"140",310,82,9.69004,9.69004,0.00,0.00,26,26,0
"140",367,101,6.09004,6.09004,0.00,0.00,30,30,0
"140",368,102,7.37028,7.37028,0.00,0.00,33,33,0
"141",369,103,4.78637,4.78637,0.00,0.00,26,26,0
"141",370,104,4.763,4.763,0.00,0.00,23,23,0
"143",371,105,4.06307,4.06307,0.00,0.00,18,18,0
"145",373,106,10.0163,10.0163,0.00,0.00,27,27,0
"145",408,123,9.63115,9.63115,0.00,0.00,25,25,0
"151",428,133,28.6115,28.6142,0.00279303,0.01,8,8,0
"151",666,219,35.2262,35.2271,0.000897023,0.00,14,14,0
"152",437,137,7.33906,7.33906,0.00,0.00,24,24,0
"152",438,138,7.26188,7.26188,0.00,0.00,24,24,0
"153",483,151,4.69257,4.69259,1.82847e-05,0.00,17,17,0
"153",484,152,5.59602,5.64777,0.0517435,0.92,21,21,0
"155",419,128,4.70685,4.85555,0.148698,3.16,20,20,0
"155",420,129,5.70022,5.84892,0.148698,2.61,22,22,0
"157",597,209,10.8773,10.8773,0.00,0.00,16,16,0
"157",598,210,10.8773,10.8773,0.00,0.00,16,16,0
"158",593,207,7.57036,7.57036,0.00,0.00,24,24,0
"158",594,208,7.57036,7.57036,0.00,0.00,24,24,0
"160",485,153,6.89842,6.89842,0.00,0.00,15,15,0
"160",486,154,7.00183,7.00183,0.00,0.00,16,16,0
"162",452,142,1.30589,1.30589,0.00,0.00,10,10,0
"162",453,143,1.30589,1.30589,0.00,0.00,10,10,0
"163",488,156,68.2677,68.2469,-0.0207957,-0.03,20,20,0
"163",489,157,68.2677,68.2469,-0.0207957,-0.03,20,20,0
"165",492,158,45.7988,45.7866,-0.0121703,-0.03,17,17,0
"165",493,159,45.7988,45.7866,-0.0121703,-0.03,17,17,0
"166",581,201,41.4123,41.4097,-0.00262358,-0.01,40,40,0
"166",582,202,41.4307,41.3723,-0.0584301,-0.14,39,38,1
"167",571,195,4.88997,4.88997,0.00,0.00,6,6,0
"167",572,196,4.88997,4.88997,0.00,0.00,6,6,0
"168",500,162,8.078,8.0708,-0.00720038,-0.09,10,10,0
"168",501,163,8.078,8.0708,-0.00720038,-0.09,10,10,0
"169",792,320,9.38408,9.3708,-0.0132786,-0.14,10,10,0
"169",793,321,9.38408,9.45606,0.0719823,0.77,10,10,0
"170",577,197,7.14811,7.23337,0.0852609,1.19,11,11,0
"170",578,198,7.12674,7.12674,0.00,0.00,11,11,0
"171",506,164,4.34622,4.34622,0.00,0.00,4,4,0
"171",507,165,4.34622,4.34622,0.00,0.00,4,4,0
"172",770,305,7.55508,7.55508,0.00,0.00,6,6,0
"172",771,306,7.55757,7.55757,0.00,0.00,6,6,0
"173",510,166,22.4785,22.5027,0.0241646,0.11,74,74,0
"173",511,167,22.0829,22.0841,0.00120365,0.01,75,75,0
"174",781,312,7.17634,7.17634,0.00,0.00,11,11,0
"174",782,313,7.17634,7.17634,0.00,0.00,11,11,0
"175",843,350,10.5007,10.4997,-0.000983513,-0.01,14,14,0
"175",848,355,11.3749,11.3749,0.00,0.00,14,14,0
"176",516,168,4.34889,4.34889,0.00,0.00,16,16,0
"176",517,169,4.47575,4.47575,0.00,0.00,17,17,0
"177",579,199,4.92573,4.92512,-0.000612695,-0.01,10,10,0
"177",580,200,4.83243,4.83243,0.00,0.00,10,10,0
"178",520,170,7.84425,7.84425,0.00,0.00,21,21,0
"178",521,171,7.9711,7.9711,0.00,0.00,23,23,0
"179",522,172,14.9769,14.9769,0.00,0.00,41,41,0
"179",523,173,14.9769,14.9769,0.00,0.00,41,41,0
"180",790,318,9.07161,9.07161,0.00,0.00,16,16,0
"180",791,319,9.07859,9.07859,0.00,0.00,16,16,0
"181",603,212,13.0893,13.0893,0.00,0.00,6,6,0
"181",605,213,13.7872,13.7871,-0.000104943,-0.00,6,6,0
"182",528,174,6.69975,6.69975,0.00,0.00,21,21,0
"182",529,175,6.76997,6.76997,0.00,0.00,21,21,0
"183",530,176,5.43669,5.4367,1.82847e-05,0.00,17,17,0
"183",531,177,5.43669,5.4367,1.82847e-05,0.00,17,17,0
"184",532,178,7.89979,7.89979,0.00,0.00,24,24,0
"184",533,179,7.89859,7.89859,0.00,0.00,24,24,0
"185",591,205,8.70824,8.70824,0.00,0.00,25,25,0
"185",592,206,8.70824,8.70824,0.00,0.00,25,25,0
"186",829,346,10.8939,10.8939,0.00,0.00,16,16,0
"186",832,349,10.8967,10.8967,0.00,0.00,15,15,0
"187",538,180,9.39755,9.39755,0.00,0.00,20,20,0
"187",539,181,9.39755,9.39755,0.00,0.00,19,19,0
"188",540,182,22.2718,22.2718,0.00,0.00,44,44,0
"188",541,183,22.2718,22.2718,0.00,0.00,44,44,0
"189",542,184,10.035,10.035,0.00,0.00,21,21,0
"189",543,185,10.035,10.035,0.00,0.00,21,21,0
"190",544,186,17.5172,17.5172,0.00,0.00,8,8,0
"190",545,187,17.9248,17.925,0.000174277,0.00,8,8,0
"191",546,188,13.061,13.061,0.00,0.00,20,20,0
"192",547,189,10.9205,10.9197,-0.000842206,-0.01,8,8,0
"192",548,190,11.8344,11.8302,-0.00422414,-0.04,6,6,0
"193",625,217,23.1374,23.1374,0.00,0.00,8,8,0
"193",733,268,20.7044,20.7044,0.00,0.00,9,9,0
"194",552,192,6.54652,6.54652,0.00,0.00,29,29,0
"194",553,193,6.54016,6.54016,0.00,0.00,27,27,0
"195",554,194,7.87859,7.93415,0.0555576,0.71,26,26,0
"195",606,214,7.4818,7.4818,0.00,0.00,30,30,0
"201",667,220,3.69284,3.69284,0.00,0.00,14,14,0
"201",668,221,3.69284,3.69284,0.00,0.00,14,14,0
"202",669,222,8.28091,8.28085,-6.39446e-05,-0.00,26,26,0
"202",670,223,8.41444,8.41444,0.00,0.00,27,27,0
"203",671,224,6.05188,6.05188,0.00,0.00,21,21,0
"203",672,225,6.05188,6.05188,0.00,0.00,20,20,0
"204",673,226,5.52141,5.52141,0.00,0.00,11,11,0
"204",674,227,4.69786,4.69786,0.00,0.00,14,14,0
"205",680,228,4.92895,4.92895,0.00,0.00,28,28,0
"205",681,229,4.98403,4.98403,0.00,0.00,30,30,0
"206",720,255,5.34498,5.34498,0.00,0.00,13,13,0
"206",723,258,5.34498,5.34498,0.00,0.00,13,13,0
"207",689,230,4.66701,4.66701,0.00,0.00,12,12,0
"207",722,257,3.68179,3.68179,0.00,0.00,7,7,0
"208",721,256,3.68179,3.68179,0.00,0.00,7,7,0
"209",719,254,5.25626,5.25626,0.00,0.00,15,15,0
"209",724,259,2.10961,2.10961,0.00,0.00,8,8,0
"209",725,260,1.93957,1.93957,0.00,0.00,7,7,0
"209",726,261,5.28015,5.28015,0.00,0.00,8,8,0
"210",717,252,15.0766,15.0766,0.00,0.00,9,9,0
"210",718,253,15.1437,15.1437,0.00,0.00,9,9,0
"211",727,262,7.84267,7.84074,-0.00193502,-0.02,25,25,0
"211",728,263,7.852,7.84641,-0.00558215,-0.07,23,23,0
"212",729,264,19.0216,19.0181,-0.00350258,-0.02,18,18,0
"212",730,265,18.0335,18.0335,0.00,0.00,18,18,0
"213",734,269,14.2167,14.2167,0.00,0.00,20,20,0
"213",735,270,15.0562,15.038,-0.0181425,-0.12,20,20,0
"214",736,271,13.6174,13.6162,-0.00119148,-0.01,7,7,0
"214",737,272,13.7733,13.7736,0.000308789,0.00,8,8,0
"215",738,273,17.6007,17.6007,0.00,0.00,12,12,0
"215",739,274,17.3852,17.3852,0.00,0.00,12,12,0
"216",696,235,20.7696,20.7595,-0.0101107,-0.05,35,35,0
"216",697,236,15.5237,15.523,-0.000718744,-0.00,29,29,0
"217",702,241,2.03527,2.03527,0.00,0.00,12,12,0
"217",703,242,2.18417,2.18417,0.00,0.00,12,12,0
"218",740,275,11.1109,11.1109,0.00,0.00,19,19,0
"218",741,276,11.1109,11.1109,0.00,0.00,19,19,0
"219",698,237,5.65549,5.65549,0.00,0.00,23,23,0
"219",699,238,5.63492,5.63492,0.00,0.00,21,21,0
"220",700,239,3.04945,3.04945,0.00,0.00,12,12,0
"220",701,240,3.04945,3.04945,0.00,0.00,12,12,0
"221",692,231,7.05864,7.04925,-0.00939194,-0.13,16,16,0
"221",693,232,6.92973,6.92973,0.00,0.00,17,17,0
"222",742,277,12.5483,12.5476,-0.000718744,-0.01,24,24,0
"222",743,278,12.5483,12.5476,-0.000718744,-0.01,24,24,0
"223",744,279,3.88782,3.88782,0.00,0.00,10,10,0
"223",745,280,3.88782,3.88782,0.00,0.00,10,10,0
"224",762,297,16.0125,16.0125,0.00,0.00,19,19,0
"224",763,298,16.1531,16.1531,0.00,0.00,21,21,0
"225",764,299,7.84408,7.84336,-0.000718744,-0.01,23,23,0
"225",765,300,7.84408,7.84336,-0.000718744,-0.01,23,23,0
"226",760,295,4.57315,4.57315,0.00,0.00,6,6,0
"226",761,296,4.57315,4.57315,0.00,0.00,6,6,0
"227",694,233,11.9739,11.9739,0.00,0.00,38,38,0
"227",695,234,10.9604,10.9604,0.00,0.00,39,39,0
"229",746,281,2.68914,2.68914,0.00,0.00,10,10,0
"229",747,282,2.68914,2.68914,0.00,0.00,10,10,0
"230",748,283,6.19792,6.19792,0.00,0.00,10,10,0
"230",749,284,6.19792,6.19792,0.00,0.00,11,11,0
"231",750,285,4.80093,4.80093,0.00,0.00,11,11,0
"231",751,286,4.87663,4.87663,0.00,0.00,11,11,0
"232",752,287,7.52505,7.52505,0.00,0.00,22,22,0
"232",753,288,7.93997,7.93997,0.00,0.00,20,20,0
"233",754,289,7.43027,7.43027,0.00,0.00,10,10,0
"233",755,290,7.43027,7.43027,0.00,0.00,10,10,0
"234",756,291,6.46745,6.46745,0.00,0.00,15,15,0
"234",757,292,6.46745,6.46745,0.00,0.00,15,15,0
"235",758,293,7.29394,7.28733,-0.00660967,-0.09,13,13,0
"235",759,294,7.29394,7.28733,-0.00660967,-0.09,13,13,0
"236",706,245,1.02481,1.02481,0.00,0.00,7,7,0
"236",707,246,1.02481,1.02481,0.00,0.00,8,8,0
"239",709,248,1.38467,1.38467,0.00,0.00,11,11,0
"239",710,249,1.42546,1.42546,0.00,0.00,11,11,0
"240",714,250,2.6174,2.6174,0.00,0.00,13,13,0
"240",715,251,2.73268,2.73268,0.00,0.00,10,10,0
"241",704,243,3.22626,3.22626,0.00,0.00,15,15,0
"241",705,244,3.02495,3.02495,0.00,0.00,16,16,0
"241",708,247,1.65886,1.65886,0.00,0.00,7,7,0
"246",766,301,40.0808,40.0778,-0.0030157,-0.01,15,15,0
"246",767,302,40.0808,40.0778,-0.0030157,-0.01,15,15,0
"247",731,266,14.1103,14.1,-0.0102905,-0.07,19,19,0
"247",732,267,14.4599,14.4511,-0.00880084,-0.06,19,19,0
"270",819,344,11.2693,11.2464,-0.0229648,-0.2,10,10,0
"270",820,345,10.915,10.9606,0.045611,0.42,14,14,0
"300",814,342,5.85319,5.85319,0.00,0.00,38,38,0
"300",815,343,6.91719,6.91719,0.00,0.00,39,39,0
"318",799,327,14.5237,14.5237,0.00,0.00,32,32,0
"318",800,328,14.3553,14.3553,0.00,0.00,31,31,0
"325",802,330,29.8509,29.868,0.017053,0.06,27,27,0
"325",803,331,27.6398,27.6378,-0.00203478,-0.01,21,21,0
"332",811,339,4.83459,4.83459,0.00,0.00,25,25,0
"332",812,340,5.46777,5.46777,0.00,0.00,28,28,0
"333",798,326,27.2828,27.2986,0.0157449,0.06,13,13,0
"333",801,329,24.4867,24.4867,0.00,0.00,13,13,0
"339",808,336,12.2155,12.201,-0.0144978,-0.12,50,50,0
"339",809,337,13.7224,13.7224,0.00,0.00,59,59,0
"342",796,324,12.2764,12.2757,-0.000718744,-0.01,22,22,0
"342",797,325,12.3731,12.363,-0.0101107,-0.08,32,32,0
"387",805,333,14.7203,14.7203,0.00,0.00,69,69,0
"387",806,334,15.2258,15.2258,0.00,0.00,77,77,0
"394",810,338,6.79508,6.79508,0.00,0.00,31,31,0
"394",813,341,7.05564,7.05564,0.00,0.00,34,34,0
"395",804,332,16.0408,16.0408,0.00,0.00,76,76,0
"395",807,335,16.5463,16.5463,0.00,0.00,85,85,0
"397",830,347,30.0357,30.0357,0.00,0.00,59,59,0
"397",831,348,28.594,28.769,0.174978,0.61,56,55,1
"403",849,356,13.9117,13.8395,-0.0721542,-0.52,43,43,0
